ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
O27  1a     0.79706   0.11880   0.50000   1.00000   0.73374  
O29  1a     0.85946   0.11360   0.50000   1.00000   0.76280  
O31  1a     0.92188   0.12917   0.50000   1.00000   0.67580  
O1   1a     0.98430   0.16313   0.50000   1.00000   0.48612  
O3   1a     0.04676   0.21032   0.50000   1.00000   0.22290  
O5   1a     0.10925   0.26355   0.50000   1.00000   0.07889  
O69  1a     0.12512   0.52863   0.00000   1.00000   0.16011  
O71  1a     0.18762   0.57789   0.00000   1.00000   0.43559  
O73  1a     0.25012   0.61530   0.00000   1.00000   0.64480  
O75  1a     0.31262   0.63515   0.00000   1.00000   0.75581  
O77  1a     0.37512   0.63443   0.00000   1.00000   0.75178  
O79  1a     0.43762   0.61324   0.00000   1.00000   0.63328  
O66  1a     0.50012   0.57481   0.00000   1.00000   0.41836  
O68  1a     0.56262   0.52499   0.00000   1.00000   0.13975  
O70  1a     0.62512   0.47137   0.00000   1.00000   0.16011  
O72  1a     0.68762   0.42211   0.00000   1.00000   0.43559  
O74  1a     0.75012   0.38470   0.00000   1.00000   0.64480  
O76  1a     0.81262   0.36485   0.00000   1.00000   0.75581  
O78  1a     0.87512   0.36557   0.00000   1.00000   0.75178  
O80  1a     0.93762   0.38676   0.00000   1.00000   0.63328  
O65  1a     0.00012   0.42519   0.00000   1.00000   0.41836  
O67  1a     0.06262   0.47501   0.00000   1.00000   0.13975  
O85  1a     0.15637   0.05430   0.00000   1.00000   0.30367  
O87  1a     0.21887   0.09849   0.00000   1.00000   0.55079  
O89  1a     0.28137   0.12768   0.00000   1.00000   0.71403  
O91  1a     0.34387   0.13743   0.00000   1.00000   0.76855  
O93  1a     0.40637   0.12626   0.00000   1.00000   0.70609  
O95  1a     0.46887   0.09587   0.00000   1.00000   0.53614  
O82  1a     0.53137   0.05088   0.00000   1.00000   0.28454  
O84  1a     0.59387  -0.00185   0.00000   1.00000   0.01035  
O86  1a     0.65637  -0.05430   0.00000   1.00000   0.30367  
O88  1a     0.71887  -0.09849   0.00000   1.00000   0.55079  
O90  1a     0.78137  -0.12768   0.00000   1.00000   0.71403  
O92  1a     0.84387  -0.13743   0.00000   1.00000   0.76855  
O94  1a     0.90637  -0.12626   0.00000   1.00000   0.70609  
O96  1a     0.96887  -0.09587   0.00000   1.00000   0.53614  
O81  1a     0.03137  -0.05088   0.00000   1.00000   0.28454  
O83  1a     0.09387   0.00185   0.00000   1.00000   0.01035  

Displacive mode definitions

atom    x        y        z        dx      dy      dz   
P1[0,0,0]GM1(a)[Pb1:a:dsp]A_1(a) normfactor =  0.00279
Pb7   0.15637  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb9   0.21887  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb11  0.28137  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb13  0.34387  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb15  0.40637  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb2   0.46887  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb4   0.53137  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb6   0.59387  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb8   0.65637  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb10  0.71887  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb12  0.78137  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb14  0.84387  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb16  0.90637  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb1   0.96887  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb3   0.03137  0.50000  0.00000 -1.0000  0.0000  0.0000 
Pb5   0.09387  0.50000  0.00000 -1.0000  0.0000  0.0000 

P1[0,0,0]GM1(a)[Pb1:a:dsp]A_2(a) normfactor =  0.04470
Pb7   0.15637  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb9   0.21887  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb11  0.28137  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb13  0.34387  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb15  0.40637  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb2   0.46887  0.50000  0.00000  0.0000 -1.0000  0.0000 
