ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.99219,1.99219,-0.01301), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
O82  1a     0.56514   0.54230   0.01301   1.00000   0.36646  
O68  1a     0.59642   0.02073   0.01301   1.00000   0.30509  
O84  1a     0.62769   0.49890   0.01301   1.00000   0.28470  
O70  1a     0.65897  -0.02308   0.01301   1.00000   0.31513  
O86  1a     0.69025   0.45500   0.01301   1.00000   0.38390  
O72  1a     0.72153  -0.06668   0.01301   1.00000   0.47398  
O88  1a     0.75281   0.41182   0.01301   1.00000   0.57456  
O74  1a     0.78409  -0.10929   0.01301   1.00000   0.67974  
O90  1a     0.81535   0.37018   0.01301   1.00000   0.78519  
O76  1a     0.84664  -0.14858   0.01301   1.00000   0.88426  
O92  1a     0.87782   0.33994   0.01301   1.00000   0.94280  
O78  1a     0.90898  -0.14438   0.01301   1.00000   0.85717  
O94  1a     0.94011   0.37405   0.01301   1.00000   0.75679  
O80  1a     0.97134  -0.10583   0.01301   1.00000   0.65287  
O96  1a     0.00260   0.41501   0.01301   1.00000   0.54957  
O65  1a     0.03386  -0.06374   0.01301   1.00000   0.45182  
O81  1a     0.06514   0.45770   0.01301   1.00000   0.36646  
O67  1a     0.09642  -0.02073   0.01301   1.00000   0.30509  
O83  1a     0.12769   0.50110   0.01301   1.00000   0.28470  
O69  1a     0.15897   0.02308   0.01301   1.00000   0.31513  
O24  1a     0.20595   0.30784   0.51301   1.00000   0.43890  
O56  1a     0.23723   0.82953   0.51301   1.00000   0.53619  
O26  1a     0.26850   0.35067   0.51301   1.00000   0.63829  
O58  1a     0.29978   0.87182   0.51301   1.00000   0.74582  
O28  1a     0.33099   0.39089   0.51301   1.00000   0.84317  
O60  1a     0.36226   0.90842   0.51301   1.00000   0.93580  
O30  1a     0.39304   0.40679   0.51301   1.00000   0.91435  
O62  1a     0.42411   0.88995   0.51301   1.00000   0.81958  
O32  1a     0.45540   0.37111   0.51301   1.00000   0.72089  
O64  1a     0.48665   0.85035   0.51301   1.00000   0.61312  
O2   1a     0.51792   0.32925   0.51301   1.00000   0.50829  
O34  1a     0.54919   0.80783   0.51301   1.00000   0.40921  
O4   1a     0.58047   0.28639   0.51301   1.00000   0.32495  
O36  1a     0.61174   0.76456   0.51301   1.00000   0.26812  
O6   1a     0.64303   0.24266   0.51301   1.00000   0.26174  
O38  1a     0.67430   0.72062   0.51301   1.00000   0.30803  
O8   1a     0.70558   0.19890   0.51301   1.00000   0.38858  
O40  1a     0.73685   0.67725   0.51301   1.00000   0.48566  
O10  1a     0.76814   0.15606   0.51301   1.00000   0.58994  
O42  1a     0.79938   0.63492   0.51301   1.00000   0.69718  
O12  1a     0.83069   0.11552   0.51301   1.00000   0.80021  
O44  1a     0.86187   0.59813   0.51301   1.00000   0.89030  
O14  1a     0.89335   0.09986   0.51301   1.00000   0.88750  
O46  1a     0.92456   0.61707   0.51301   1.00000   0.79586  
O16  1a     0.95576   0.13612   0.51301   1.00000   0.69541  
O48  1a     0.98702   0.65664   0.51301   1.00000   0.59275  
O18  1a     0.01829   0.17762   0.51301   1.00000   0.49323  
O50  1a     0.04957   0.69901   0.51301   1.00000   0.40271  
O20  1a     0.08084   0.22043   0.51301   1.00000   0.33058  
O52  1a     0.11212   0.74219   0.51301   1.00000   0.29248  
O22  1a     0.14339   0.26415   0.51301   1.00000   0.30206  
O54  1a     0.17468   0.78620   0.51301   1.00000   0.35757  

Displacive mode definitions

atom    x        y        z        dx      dy      dz   
Pm-3m[0,0,0]GM4-(a,b,c)[Pb1:a:dsp]T1u(a) normfactor =  0.02255
Pb7   0.18701  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb23  0.21826  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb9   0.24951  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb25  0.28076  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb11  0.31201  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb27  0.34326  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb13  0.37451  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb29  0.40576  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb15  0.43701  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb31  0.46826  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb2   0.49951  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb18  0.53076  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb4   0.56201  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb20  0.59326  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb6   0.62451  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb22  0.65576  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb8   0.68701  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb24  0.71826  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb10  0.74951  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb26  0.78076  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb12  0.81201  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb28  0.84326  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb14  0.87451  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb30  0.90576  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb16  0.93701  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb32  0.96826  0.50000  0.01301  0.0625  1.0000  0.0000 
