ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.00192,2.00192,0), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
O27  1a     0.79706   0.11880   0.50000   1.00000   0.73374  
O59  1a     0.82824   0.61358   0.50000   1.00000   0.76291  
O29  1a     0.85946   0.11360   0.50000   1.00000   0.76280  
O61  1a     0.89067   0.61886   0.50000   1.00000   0.73341  
O31  1a     0.92188   0.12917   0.50000   1.00000   0.67580  
O63  1a     0.95309   0.64412   0.50000   1.00000   0.59228  
O1   1a     0.98430   0.16313   0.50000   1.00000   0.48612  
O33  1a     0.01553   0.68549   0.50000   1.00000   0.36127  
O3   1a     0.04676   0.21032   0.50000   1.00000   0.22290  
O35  1a     0.07800   0.73668   0.50000   1.00000   0.07765  
O5   1a     0.10925   0.26355   0.50000   1.00000   0.07888  
O85  1a     0.15637   0.05430   0.00000   1.00000   0.30367  
O71  1a     0.18762   0.57789   0.00000   1.00000   0.43559  
O87  1a     0.21887   0.09849   0.00000   1.00000   0.55079  
O73  1a     0.25012   0.61530   0.00000   1.00000   0.64479  
O89  1a     0.28137   0.12768   0.00000   1.00000   0.71403  
O75  1a     0.31262   0.63515   0.00000   1.00000   0.75580  
O91  1a     0.34387   0.13743   0.00000   1.00000   0.76856  
O77  1a     0.37512   0.63443   0.00000   1.00000   0.75178  
O93  1a     0.40637   0.12626   0.00000   1.00000   0.70609  
O79  1a     0.43762   0.61324   0.00000   1.00000   0.63328  
O95  1a     0.46887   0.09587   0.00000   1.00000   0.53614  
O66  1a     0.50012   0.57481   0.00000   1.00000   0.41836  
O82  1a     0.53137   0.05088   0.00000   1.00000   0.28453  
O68  1a     0.56262   0.52499   0.00000   1.00000   0.13975  
O84  1a     0.59387  -0.00185   0.00000   1.00000   0.01035  
O70  1a     0.62512   0.47137   0.00000   1.00000   0.16011  
O86  1a     0.65637  -0.05430   0.00000   1.00000   0.30367  
O72  1a     0.68762   0.42211   0.00000   1.00000   0.43559  
O88  1a     0.71887  -0.09849   0.00000   1.00000   0.55079  
O74  1a     0.75012   0.38470   0.00000   1.00000   0.64479  
O90  1a     0.78137  -0.12768   0.00000   1.00000   0.71403  
O76  1a     0.81262   0.36485   0.00000   1.00000   0.75580  
O92  1a     0.84387  -0.13743   0.00000   1.00000   0.76856  
O78  1a     0.87512   0.36557   0.00000   1.00000   0.75178  
O94  1a     0.90637  -0.12626   0.00000   1.00000   0.70609  
O80  1a     0.93762   0.38676   0.00000   1.00000   0.63328  
O96  1a     0.96887  -0.09587   0.00000   1.00000   0.53614  
O65  1a     0.00012   0.42519   0.00000   1.00000   0.41836  
O81  1a     0.03137  -0.05088   0.00000   1.00000   0.28453  
O67  1a     0.06262   0.47501   0.00000   1.00000   0.13975  
O83  1a     0.09387   0.00185   0.00000   1.00000   0.01035  
O69  1a     0.12512   0.52863   0.00000   1.00000   0.16011  
O24  1a     0.17220   0.81472   0.50000   1.00000   0.36240  
O56  1a     0.20342   0.33705   0.50000   1.00000   0.48706  
O26  1a     0.23464   0.85603   0.50000   1.00000   0.59310  
O58  1a     0.26585   0.37094   0.50000   1.00000   0.67640  
